8001,BL,0
8001,SL,7
8001,VL,0
12059,BL,0
12059,SL,7
12059,VL,0
10037,BL,0
10037,SL,7
10037,VL,0
56,BL,0
56,SL,9
56,VL,0
8006,BL,0
8006,SL,7
8006,VL,0
18117,BL,0
18117,SL,5
18117,VL,0
18120,BL,0
18120,SL,5
18120,VL,0
18121,BL,0
18121,SL,5
18121,VL,0
279,BL,0
279,SL,7
279,VL,0
627,BL,0
627,SL,7
627,VL,0
18122,BL,0
18122,SL,5
18122,VL,0
866,BL,0
866,SL,7
866,VL,0
14067,BL,0
14067,SL,7
14067,VL,0
19044,BL,0
19044,SL,5
19044,VL,0
17106,BL,0
17106,SL,5
17106,VL,0
1009,BL,0
1009,SL,7
1009,VL,0
17111,BL,0
17111,SL,5
17111,VL,0
692,BL,0
692,SL,7
692,VL,0
17112,BL,0
17112,SL,7
17112,VL,0
17087,BL,0
17087,SL,7
17087,VL,0
553,BL,0
553,SL,7
553,VL,0
16086,BL,0
16086,SL,7
16086,VL,0
8017,BL,0
8017,SL,7
8017,VL,0
17104,BL,0
17104,SL,5
17104,VL,0
1145,BL,0
1145,SL,7
1145,VL,0
15074,BL,0
15074,SL,7
15074,VL,0
18119,BL,0
18119,SL,5
18119,VL,0
15080,BL,0
15080,SL,7
15080,VL,0
